level,title,start_page,end_page,parent_chapter,major_chapter
6,Tab Costs [material flow objects],3244,3245,Tab Costs,11. Objects Reference Help
6,"Active [check box] - costs, material flow objects",3246,3246,Tab Costs,11. Objects Reference Help
6,Depreciation Period [text box],3247,3247,Tab Costs,11. Objects Reference Help
6,Investment Costs [text box],3248,3248,Tab Costs,11. Objects Reference Help
6,Investment Costs per Length [text box],3249,3249,Tab Costs,11. Objects Reference Help
6,Operating Costs [text box],3250,3250,Tab Costs,11. Objects Reference Help
6,Operating Costs per Length [text box],3251,3251,Tab Costs,11. Objects Reference Help
5,Tab User-defined,3251,3297,Dialog Box of the Objects,11. Objects Reference Help
6,User-defined Attributes [general description],3251,3255,Tab User-defined,11. Objects Reference Help
6,New User-defined Attribute,3256,3296,Tab User-defined,11. Objects Reference Help
7,New [user-defined attribute],3256,3258,New User-defined Attribute,11. Objects Reference Help
7,Name [user-defined attribute],3259,3259,New User-defined Attribute,11. Objects Reference Help
7,Show in 3D [user-defined attribute],3260,3264,New User-defined Attribute,11. Objects Reference Help
7,Tab Value,3265,3270,New User-defined Attribute,11. Objects Reference Help
8,Tab Value [user-defined attribute],3265,3265,Tab Value,11. Objects Reference Help
8,Data Type [user-defined attribute],3266,3267,Tab Value,11. Objects Reference Help
8,Value [user-defined attribute],3268,3269,Tab Value,11. Objects Reference Help
8,Initial Value [user-defined attribute],3270,3270,Tab Value,11. Objects Reference Help
8,Show in Tooltip,3271,3271,Tab Value,11. Objects Reference Help
7,Tab Transformation,3271,3277,New User-defined Attribute,11. Objects Reference Help
8,Transformation [user-defined attribute],3271,3272,Tab Transformation,11. Objects Reference Help
8,Settings for the Position [user-defined attribute],3273,3273,Tab Transformation,11. Objects Reference Help
8,Settings for the Rotation,3274,3276,Tab Transformation,11. Objects Reference Help
9,Settings for the Rotation [user-defined attribute],3274,3275,Settings for the Rotation,11. Objects Reference Help
9,Add Rotation [Buffer],3276,3276,Settings for the Rotation,11. Objects Reference Help
8,Settings for the Scale [user-defined attribute],3277,3277,Tab Transformation,11. Objects Reference Help
7,Tab Display,3278,3290,New User-defined Attribute,11. Objects Reference Help
8,Tab Display [user-defined attribute],3278,3278,Tab Display,11. Objects Reference Help
8,Font Size [user-defined attribute],3279,3279,Tab Display,11. Objects Reference Help
8,Font Color [user-defined attribute],3280,3280,Tab Display,11. Objects Reference Help
8,Background Color [user-defined attribute],3281,3281,Tab Display,11. Objects Reference Help
8,Alignment [user-defined attribute],3282,3283,Tab Display,11. Objects Reference Help
8,Decimal Places [text box] - user-defined attribute,3284,3284,Tab Display,11. Objects Reference Help
8,Integer Places [text box] - user-defined attribute,3285,3285,Tab Display,11. Objects Reference Help
8,Transparent [user-defined attribute],3286,3286,Tab Display,11. Objects Reference Help
8,Show Units [user-defined attribute],3287,3288,Tab Display,11. Objects Reference Help
8,Show Data Type [user-defined attribute],3289,3289,Tab Display,11. Objects Reference Help
8,Show Name [user-defined attribute],3290,3290,Tab Display,11. Objects Reference Help
8,Show Externally,3291,3291,Tab Display,11. Objects Reference Help
7,Tab Statistics,3291,3296,New User-defined Attribute,11. Objects Reference Help
8,Tab Statistics [user-defined attribute],3291,3292,Tab Statistics,11. Objects Reference Help
8,Active [check box] - user-defined attribute,3293,3293,Tab Statistics,11. Objects Reference Help
8,Statistics Table [user-defined attribute],3294,3294,Tab Statistics,11. Objects Reference Help
8,Charts [user-defined attribute],3295,3295,Tab Statistics,11. Objects Reference Help
8,Frequency Histogram [user-defined attribute],3296,3296,Tab Statistics,11. Objects Reference Help
6,Edit [user-defined attribute],3297,3297,Tab User-defined,11. Objects Reference Help
6,Delete [user-defined attribute],3298,3298,Tab User-defined,11. Objects Reference Help
5,Navigate Menu,3298,3303,Dialog Box of the Objects,11. Objects Reference Help
6,Navigate Menu [general description],3298,3298,Navigate Menu,11. Objects Reference Help
6,Open Location [described],3299,3299,Navigate Menu,11. Objects Reference Help
6,Open Origin [described],3300,3300,Navigate Menu,11. Objects Reference Help
6,Go to Origin [described],3301,3301,Navigate Menu,11. Objects Reference Help
6,Open Class [described],3302,3302,Navigate Menu,11. Objects Reference Help
6,Go to Class [described],3303,3303,Navigate Menu,11. Objects Reference Help
6,Edit 3D Properties [on Navigate menu],3304,3304,Navigate Menu,11. Objects Reference Help
5,View Menu,3304,3322,Dialog Box of the Objects,11. Objects Reference Help
6,View Menu [general description],3304,3304,View Menu,11. Objects Reference Help
6,Refresh [on View menu],3305,3305,View Menu,11. Objects Reference Help
6,Show Statistics Report [on View menu],3306,3306,View Menu,11. Objects Reference Help
6,Show Attributes and Methods [on View menu],3307,3307,View Menu,11. Objects Reference Help
6,Contents [material flow objects],3308,3311,View Menu,11. Objects Reference Help
6,Contents and Reserved Places,3312,3313,View Menu,11. Objects Reference Help
6,Forward Blocking List,3314,3315,View Menu,11. Objects Reference Help
6,Exit Blocking List,3316,3316,View Menu,11. Objects Reference Help
6,Backward Blocking List,3317,3317,View Menu,11. Objects Reference Help
6,Exporters [on View menu],3318,3318,View Menu,11. Objects Reference Help
6,Services [on View menu],3319,3319,View Menu,11. Objects Reference Help
6,Unavailable Services [on View menu],3320,3320,View Menu,11. Objects Reference Help
6,Associated Workplaces [on View menu],3321,3321,View Menu,11. Objects Reference Help
6,Associated Lockout Zones,3322,3322,View Menu,11. Objects Reference Help
6,Associated Shift Calendar,3323,3323,View Menu,11. Objects Reference Help
5,Tools Menu,3323,3387,Dialog Box of the Objects,11. Objects Reference Help
6,Tools Menu [general description],3323,3323,Tools Menu,11. Objects Reference Help
6,Edit Controls,3323,3377,Tools Menu,11. Objects Reference Help
7,Edit Controls [material flow objects],3323,3327,Edit Controls,11. Objects Reference Help
7,Select Object [for controls],3328,3330,Edit Controls,11. Objects Reference Help
7,Change Path Control,3331,3333,Edit Controls,11. Objects Reference Help
7,Close Control,3334,3335,Edit Controls,11. Objects Reference Help
7,Connect Control,3336,3338,Edit Controls,11. Objects Reference Help
7,Constructor Control,3339,3340,Edit Controls,11. Objects Reference Help
7,Destructor Control,3341,3342,Edit Controls,11. Objects Reference Help
7,Drag-and-Drop Control,3343,3346,Edit Controls,11. Objects Reference Help
7,Fail Control [material flow objects],3347,3349,Edit Controls,11. Objects Reference Help
7,Init Control [general description],3350,3351,Edit Controls,11. Objects Reference Help
7,Move in Frame Control,3352,3353,Edit Controls,11. Objects Reference Help
7,Move to Folder Control,3354,3355,Edit Controls,11. Objects Reference Help
7,Open Control,3356,3359,Edit Controls,11. Objects Reference Help
7,Pause Control [material flow objects],3360,3362,Edit Controls,11. Objects Reference Help
7,Permit Delete Control,3363,3364,Edit Controls,11. Objects Reference Help
7,Plausibility Control,3365,3366,Edit Controls,11. Objects Reference Help
7,Relabel Control,3367,3369,Edit Controls,11. Objects Reference Help
7,Rename Control,3370,3372,Edit Controls,11. Objects Reference Help
7,Select Control,3373,3374,Edit Controls,11. Objects Reference Help
7,Unplanned Control,3375,3377,Edit Controls,11. Objects Reference Help
6,Edit Observers,3378,3384,Tools Menu,11. Objects Reference Help
7,Edit Observers [general description],3378,3380,Edit Observers,11. Objects Reference Help
7,New [observer],3381,3382,Edit Observers,11. Objects Reference Help
7,Edit [observer],3383,3383,Edit Observers,11. Objects Reference Help
7,Delete [observer],3384,3384,Edit Observers,11. Objects Reference Help
6,Inherit 'Entrance/Exit Locked' On Reset,3385,3386,Tools Menu,11. Objects Reference Help
6,Random Seed Value,3387,3387,Tools Menu,11. Objects Reference Help
5,Tabs Menu,3388,3388,Dialog Box of the Objects,11. Objects Reference Help
6,Tabs Menu,3388,3388,Tabs Menu,11. Objects Reference Help
5,Help Menu,3388,3389,Dialog Box of the Objects,11. Objects Reference Help
6,Help Menu [in object dialogs],3388,3389,Help Menu,11. Objects Reference Help
4,States of the Material Flow Objects,3390,3390,Shared Properties,11. Objects Reference Help
4,Statistics of the Material Flow Objects,3391,3467,Shared Properties,11. Objects Reference Help
5,Statistics of the Material Flow Objects,3391,3392,Statistics of the Material Flow Objects,11. Objects Reference Help
5,Statistics Collection Period [material flow objects],3393,3393,Statistics of the Material Flow Objects,11. Objects Reference Help
5,Resource Statistics,3394,3412,Statistics of the Material Flow Objects,11. Objects Reference Help
6,Resource Statistics [material flow objects],3394,3397,Resource Statistics,11. Objects Reference Help
6,"Working [state, material flow objects]",3398,3399,Resource Statistics,11. Objects Reference Help
6,"Setting-Up [state, material flow objects]",3400,3400,Resource Statistics,11. Objects Reference Help
6,"Waiting [state, material flow objects]",3401,3402,Resource Statistics,11. Objects Reference Help
6,"Blocked [state, material flow objects]",3403,3403,Resource Statistics,11. Objects Reference Help
6,"Powering up/down [state, material flow objects]",3404,3404,Resource Statistics,11. Objects Reference Help
6,Failed [state - material flow objects],3405,3406,Resource Statistics,11. Objects Reference Help
6,"Stopped [state, material flow objects]",3407,3407,Resource Statistics,11. Objects Reference Help
6,"Paused [state, material flow objects]",3408,3409,Resource Statistics,11. Objects Reference Help
6,"Unplanned [state, material flow objects]",3410,3410,Resource Statistics,11. Objects Reference Help
6,"Empty [state, material flow objects]",3411,3411,Resource Statistics,11. Objects Reference Help
6,Relative Occupation,3412,3412,Resource Statistics,11. Objects Reference Help
5,Statistics Report,3413,3467,Statistics of the Material Flow Objects,11. Objects Reference Help
6,Statistics Report [described],3413,3414,Statistics Report,11. Objects Reference Help
6,Resource Statistics of Stationary Resources,3415,3432,Statistics Report,11. Objects Reference Help
7,Resource Statistics of Stationary Resources,3415,3416,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Portions of the States which Accrued During the Statistics Collection Period,3417,3418,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Material Flow Properties [material flow objects],3419,3420,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Working Time,3421,3421,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Set-up Time [statistics report],3422,3422,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Waiting Time,3423,3423,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Blocked Time,3424,3424,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Powering up/down Time,3425,3425,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Stopped Time,3426,3426,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Failed Time,3427,3427,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Paused Time,3428,3428,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Empty Time [material flow objects],3429,3429,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Rotation Time,3430,3431,Resource Statistics of Stationary Resources,11. Objects Reference Help
7,Moving Time [statistics report],3432,3432,Resource Statistics of Stationary Resources,11. Objects Reference Help
6,Energy Statistics — Energy Statistics,3433,3433,Statistics Report,11. Objects Reference Help
6,Resource Statistics of Moving Resources,3434,3436,Statistics Report,11. Objects Reference Help
7,Resource Statistics of Moving Resources,3434,3435,Resource Statistics of Moving Resources,11. Objects Reference Help
7,Material Flow Properties [MUs],3436,3436,Resource Statistics of Moving Resources,11. Objects Reference Help
7,Empty Time [MUs],3437,3437,Resource Statistics of Moving Resources,11. Objects Reference Help
6,Resource Statistics of the Drain,3437,3441,Statistics Report,11. Objects Reference Help
7,Resource Statistics of the Drain,3437,3437,Resource Statistics of the Drain,11. Objects Reference Help
7,Cumulated Statistics of the Parts which the Drain Removed From the Plant,3438,3439,Resource Statistics of the Drain,11. Objects Reference Help
7,Part Types Which the Drain Removed From the Plant,3440,3440,Resource Statistics of the Drain,11. Objects Reference Help
7,Detailed Statistics of the Part Types which the Drain Deleted,3441,3441,Resource Statistics of the Drain,11. Objects Reference Help
6,Importer Statistics,3442,3448,Statistics Report,11. Objects Reference Help
7,Importer Statistics,3442,3443,Importer Statistics,11. Objects Reference Help
7,Importers Waiting for Services and Parts,3444,3444,Importer Statistics,11. Objects Reference Help
7,Waiting Times for Services and Parts,3445,3446,Importer Statistics,11. Objects Reference Help
7,Waiting Times for Parts,3447,3447,Importer Statistics,11. Objects Reference Help
7,Waiting Times for Set-up Exporters,3448,3448,Importer Statistics,11. Objects Reference Help
6,Exporter and Worker Statistics,3449,3453,Statistics Report,11. Objects Reference Help
7,Exporter and Worker Statistics,3449,3449,Exporter and Worker Statistics,11. Objects Reference Help
7,Service Statistics — States — Capacities and States of the Exporters,3450,3450,Exporter and Worker Statistics,11. Objects Reference Help
7,Service Statistics — States — Time Portions of the Exporters,3451,3452,Exporter and Worker Statistics,11. Objects Reference Help
7,Worker Statistics — Traveled Distance by Workers,3453,3453,Exporter and Worker Statistics,11. Objects Reference Help
6,Broker Statistics [described],3454,3455,Statistics Report,11. Objects Reference Help
6,Product Statistics of the MUs,3456,3461,Statistics Report,11. Objects Reference Help
7,Product Statistics of the MUs [statistics report],3456,3456,Product Statistics of the MUs,11. Objects Reference Help
7,Cumulated Statistics of the Classes,3457,3459,Product Statistics of the MUs,11. Objects Reference Help
8,Cumulated Statistics of the Classes,3457,3457,Cumulated Statistics of the Classes,11. Objects Reference Help
8,Mean Time Portions of a MU Class of the Mean Life Time,3458,3459,Cumulated Statistics of the Classes,11. Objects Reference Help
7,Statistics of the Individual MUs,3460,3461,Product Statistics of the MUs,11. Objects Reference Help
6,Driving Statistics of the Transporter,3462,3467,Statistics Report,11. Objects Reference Help
7,Driving Statistics of the Transporter [statistics report],3462,3462,Driving Statistics of the Transporter,11. Objects Reference Help
7,Usage of the Transporters,3463,3463,Driving Statistics of the Transporter,11. Objects Reference Help
7,Ready-Times,3464,3464,Driving Statistics of the Transporter,11. Objects Reference Help
7,Failures [Transporter],3465,3465,Driving Statistics of the Transporter,11. Objects Reference Help
7,Pauses [Transporter],3466,3466,Driving Statistics of the Transporter,11. Objects Reference Help
7,Traveled Distance,3467,3467,Driving Statistics of the Transporter,11. Objects Reference Help
7,Battery [statistics],3468,3468,Driving Statistics of the Transporter,11. Objects Reference Help
4,Times and Distributions,3468,3559,Shared Properties,11. Objects Reference Help
5,Times and Distributions,3468,3469,Times and Distributions,11. Objects Reference Help
5,Format of Time and Date,3470,3470,Times and Distributions,11. Objects Reference Help
5,Probability Distributions,3470,3511,Times and Distributions,11. Objects Reference Help
6,Probability Distributions,3470,3473,Probability Distributions,11. Objects Reference Help
6,"Beta [distribution], z_beta [SimTalk]",3474,3476,Probability Distributions,11. Objects Reference Help
6,"Binomial [distribution], z_binomial [SimTalk]",3477,3479,Probability Distributions,11. Objects Reference Help
6,Const [distribution],3480,3480,Probability Distributions,11. Objects Reference Help
6,"Erlang [distribution], z_erlang [SimTalk]",3481,3483,Probability Distributions,11. Objects Reference Help
6,"Gamma [distribution], z_gamma [SimTalk]",3484,3486,Probability Distributions,11. Objects Reference Help
6,"Geom [distribution], z_geom [SimTalk]",3487,3488,Probability Distributions,11. Objects Reference Help
6,"Hypgeo [distribution], z_hypgeom [SimTalk]",3489,3491,Probability Distributions,11. Objects Reference Help
6,"Lognorm [distribution], z_lognorm [SimTalk]",3492,3494,Probability Distributions,11. Objects Reference Help
6,"Negexp [distribution], z_negexp [SimTalk]",3495,3497,Probability Distributions,11. Objects Reference Help
6,"Normal [distribution], z_normal [SimTalk]",3498,3500,Probability Distributions,11. Objects Reference Help
6,"Poisson [distribution], z_poisson [SimTalk]",3501,3503,Probability Distributions,11. Objects Reference Help
6,"Triangle [distribution], z_triangle [SimTalk]",3504,3506,Probability Distributions,11. Objects Reference Help
6,"Uniform [distribution], z_uniform [SimTalk]",3507,3509,Probability Distributions,11. Objects Reference Help
6,"Weibull [distribution], z_weibull [SimTalk]",3510,3511,Probability Distributions,11. Objects Reference Help
5,User-defined Distributions,3512,3519,Times and Distributions,11. Objects Reference Help
6,User-defined Distributions,3512,3513,User-defined Distributions,11. Objects Reference Help
6,Formula [distribution],3514,3515,User-defined Distributions,11. Objects Reference Help
6,List(Place) [distribution],3516,3516,User-defined Distributions,11. Objects Reference Help
6,List(Type) [distribution],3517,3518,User-defined Distributions,11. Objects Reference Help
6,Matrix(Type) [distribution],3519,3519,User-defined Distributions,11. Objects Reference Help
5,Empirical Distributions,3520,3527,Times and Distributions,11. Objects Reference Help
6,Empirical Distributions,3520,3521,Empirical Distributions,11. Objects Reference Help
6,"cEmp [continuous empirical distribution], z_cEmp [SimTalk]",3522,3523,Empirical Distributions,11. Objects Reference Help
6,"dEmp [discrete empirical distribution], z_dEmp [SimTalk]",3524,3525,Empirical Distributions,11. Objects Reference Help
6,"Emp [primitive empirical distribution], z_emp [SimTalk]",3526,3527,Empirical Distributions,11. Objects Reference Help
5,Bounding Probability Distribution Functions,3528,3528,Times and Distributions,11. Objects Reference Help
5,Parameters of the Distributions,3528,3555,Times and Distributions,11. Objects Reference Help
6,Parameters of the Distributions,3528,3532,Parameters of the Distributions,11. Objects Reference Help
6,a [SimTalk],3533,3533,Parameters of the Distributions,11. Objects Reference Help
6,Alpha [SimTalk],3534,3534,Parameters of the Distributions,11. Objects Reference Help
6,Alpha1 [SimTalk],3535,3535,Parameters of the Distributions,11. Objects Reference Help
6,Alpha2 [SimTalk],3536,3536,Parameters of the Distributions,11. Objects Reference Help
6,b [SimTalk],3537,3537,Parameters of the Distributions,11. Objects Reference Help
6,Beta [SimTalk],3538,3538,Parameters of the Distributions,11. Objects Reference Help
6,c [SimTalk],3539,3539,Parameters of the Distributions,11. Objects Reference Help
6,Lambda [SimTalk],3540,3540,Parameters of the Distributions,11. Objects Reference Help
6,LowerBound [SimTalk] - distribution parameter,3541,3542,Parameters of the Distributions,11. Objects Reference Help
6,m [SimTalk],3543,3543,Parameters of the Distributions,11. Objects Reference Help
6,Mu [SimTalk] - distribution parameter,3544,3544,Parameters of the Distributions,11. Objects Reference Help
6,n [SimTalk],3545,3545,Parameters of the Distributions,11. Objects Reference Help
6,p [SimTalk],3546,3546,Parameters of the Distributions,11. Objects Reference Help
6,Sigma [SimTalk],3547,3547,Parameters of the Distributions,11. Objects Reference Help
6,Start [SimTalk] - distribution parameter,3548,3548,Parameters of the Distributions,11. Objects Reference Help
6,Stop [SimTalk] - distribution parameter,3549,3549,Parameters of the Distributions,11. Objects Reference Help
6,Stream [SimTalk] - distribution parameter,3550,3550,Parameters of the Distributions,11. Objects Reference Help
6,Theta [SimTalk],3551,3551,Parameters of the Distributions,11. Objects Reference Help
6,Type [SimTalk] - distribution parameter,3552,3554,Parameters of the Distributions,11. Objects Reference Help
6,UpperBound [SimTalk] - distribution parameter,3555,3555,Parameters of the Distributions,11. Objects Reference Help
5,Methods of the Distributions,3556,3559,Times and Distributions,11. Objects Reference Help
6,Methods of the Distributions,3556,3556,Methods of the Distributions,11. Objects Reference Help
6,getAttr [SimTalk],3557,3557,Methods of the Distributions,11. Objects Reference Help
6,putAttributeNamesIntoTable [SimTalk] - distributions,3558,3558,Methods of the Distributions,11. Objects Reference Help
6,setTypeAndAttr [SimTalk],3559,3559,Methods of the Distributions,11. Objects Reference Help
4,Methods of All Objects,3560,3660,Shared Properties,11. Objects Reference Help
5,Methods of All Objects,3560,3561,Methods of All Objects,11. Objects Reference Help
5,General Methods,3562,3601,Methods of All Objects,11. Objects Reference Help
6,_General Methods,3562,3563,General Methods,11. Objects Reference Help
6,addObserver [SimTalk],3564,3565,General Methods,11. Objects Reference Help
6,attributeWatchable [SimTalk],3566,3567,General Methods,11. Objects Reference Help
6,closeDialog [SimTalk] - all objects,3568,3568,General Methods,11. Objects Reference Help
6,deleteObject [SimTalk],3569,3570,General Methods,11. Objects Reference Help
6,derive [SimTalk],3571,3572,General Methods,11. Objects Reference Help
6,duplicate [SimTalk],3573,3574,General Methods,11. Objects Reference Help
6,extendPath [SimTalk],3575,3575,General Methods,11. Objects Reference Help
6,getHTMLCode [SimTalk] - all objects,3576,3579,General Methods,11. Objects Reference Help
6,getObservers [SimTalk],3580,3581,General Methods,11. Objects Reference Help
6,getXYWH [SimTalk],3582,3582,General Methods,11. Objects Reference Help
6,isNameUnique [SimTalk] - identifier,3583,3584,General Methods,11. Objects Reference Help
6,memUsage [SimTalk],3585,3586,General Methods,11. Objects Reference Help
6,moveToFolder [SimTalk],3587,3587,General Methods,11. Objects Reference Help
6,openDialog [SimTalk] - all objects,3588,3589,General Methods,11. Objects Reference Help
6,removeAllObservers [SimTalk],3590,3590,General Methods,11. Objects Reference Help
6,removeObserver [SimTalk],3591,3591,General Methods,11. Objects Reference Help
6,replace [SimTalk],3592,3593,General Methods,11. Objects Reference Help
6,setName [SimTalk],3594,3595,General Methods,11. Objects Reference Help
6,setPosition [SimTalk],3596,3596,General Methods,11. Objects Reference Help
6,setXYWH [SimTalk],3597,3598,General Methods,11. Objects Reference Help
6,showObject [SimTalk],3599,3599,General Methods,11. Objects Reference Help
6,updateDialog [SimTalk],3600,3600,General Methods,11. Objects Reference Help
6,writeObject [SimTalk],3601,3601,General Methods,11. Objects Reference Help
5,Methods for Object Icons,3602,3616,Methods of All Objects,11. Objects Reference Help
6,_Methods of Object Icons,3602,3603,Methods for Object Icons,11. Objects Reference Help
6,createIcon [SimTalk],3604,3605,Methods for Object Icons,11. Objects Reference Help
6,deleteIcon [SimTalk],3606,3606,Methods for Object Icons,11. Objects Reference Help
6,existsIcon [SimTalk],3607,3607,Methods for Object Icons,11. Objects Reference Help
6,getIconSize [SimTalk],3608,3608,Methods for Object Icons,11. Objects Reference Help
6,getPixel [SimTalk],3609,3609,Methods for Object Icons,11. Objects Reference Help
6,putIconToClipboard [SimTalk],3610,3610,Methods for Object Icons,11. Objects Reference Help
6,saveIconToFile [SimTalk],3611,3611,Methods for Object Icons,11. Objects Reference Help
6,setCurrIconFromClipboard [SimTalk],3612,3613,Methods for Object Icons,11. Objects Reference Help
6,setIconFromFile [SimTalk],3614,3614,Methods for Object Icons,11. Objects Reference Help
6,setIconSize [SimTalk],3615,3615,Methods for Object Icons,11. Objects Reference Help
6,setPixel [SimTalk],3616,3616,Methods for Object Icons,11. Objects Reference Help
5,"Methods for the Location, Predecessor, and Successor",3617,3624,Methods of All Objects,11. Objects Reference Help
6,"_Methods for the Location, Predecessor, and Successor",3617,3618,"Methods for the Location, Predecessor, and Successor",11. Objects Reference Help
6,pred [SimTalk] - general description,3619,3620,"Methods for the Location, Predecessor, and Successor",11. Objects Reference Help
6,predConnector [SimTalk] - general description,3621,3621,"Methods for the Location, Predecessor, and Successor",11. Objects Reference Help
6,succ [SimTalk] - general description,3622,3623,"Methods for the Location, Predecessor, and Successor",11. Objects Reference Help
6,succConnector [SimTalk] - general description,3624,3624,"Methods for the Location, Predecessor, and Successor",11. Objects Reference Help
5,Methods for Managing Inheritance Relations,3625,3628,Methods of All Objects,11. Objects Reference Help
6,_Methods for Managing Inheritance Relations,3625,3625,Methods for Managing Inheritance Relations,11. Objects Reference Help
6,childNo [SimTalk],3626,3626,Methods for Managing Inheritance Relations,11. Objects Reference Help
6,hasAttribute [SimTalk] - objects,3627,3627,Methods for Managing Inheritance Relations,11. Objects Reference Help
6,inheritAttribute [SimTalk] - object,3628,3628,Methods for Managing Inheritance Relations,11. Objects Reference Help
6,typeOf [SimTalk],3629,3629,Methods for Managing Inheritance Relations,11. Objects Reference Help
5,Methods for Managing Attributes,3629,3639,Methods of All Objects,11. Objects Reference Help
6,_Methods for Managing Attributes,3629,3630,Methods for Managing Attributes,11. Objects Reference Help
6,getAttribute [SimTalk] - object,3631,3632,Methods for Managing Attributes,11. Objects Reference Help
6,getSubAttribute [SimTalk],3633,3634,Methods for Managing Attributes,11. Objects Reference Help
6,putAttributeNamesIntoTable [SimTalk] - objects,3635,3637,Methods for Managing Attributes,11. Objects Reference Help
6,setAttribute [SimTalk] - object,3638,3638,Methods for Managing Attributes,11. Objects Reference Help
6,setSubAttribute [SimTalk],3639,3639,Methods for Managing Attributes,11. Objects Reference Help
5,Methods for Managing User-defined Attributes,3640,3657,Methods of All Objects,11. Objects Reference Help
6,_Methods of User-defined Attributes,3640,3640,Methods for Managing User-defined Attributes,11. Objects Reference Help
6,createAttr [SimTalk],3641,3642,Methods for Managing User-defined Attributes,11. Objects Reference Help
6,deleteAttr [SimTalk],3643,3644,Methods for Managing User-defined Attributes,11. Objects Reference Help
6,getAttribute [SimTalk] - user-defined attribute,3645,3646,Methods for Managing User-defined Attributes,11. Objects Reference Help
6,getAttrName [SimTalk],3647,3647,Methods for Managing User-defined Attributes,11. Objects Reference Help
6,getAttrNo [SimTalk],3648,3649,Methods for Managing User-defined Attributes,11. Objects Reference Help
6,getAttrType [SimTalk],3650,3650,Methods for Managing User-defined Attributes,11. Objects Reference Help
6,getAttrValue [SimTalk],3651,3651,Methods for Managing User-defined Attributes,11. Objects Reference Help
6,inheritAttribute [SimTalk] - user-defined attribute,3652,3652,Methods for Managing User-defined Attributes,11. Objects Reference Help
6,setAttribute [SimTalk] - user-defined attribute,3653,3654,Methods for Managing User-defined Attributes,11. Objects Reference Help
6,setAttrType [SimTalk],3655,3655,Methods for Managing User-defined Attributes,11. Objects Reference Help
6,setAttrValue [SimTalk],3656,3656,Methods for Managing User-defined Attributes,11. Objects Reference Help
6,unshare [SimTalk],3657,3657,Methods for Managing User-defined Attributes,11. Objects Reference Help
5,Miscellaneous Methods of User-defined Attributes,3658,3660,Methods of All Objects,11. Objects Reference Help
6,Miscellaneous Methods of User-defined Attributes,3658,3659,Miscellaneous Methods of User-defined Attributes,11. Objects Reference Help
6,getStatisticsTable [SimTalk] - user-defined attribute,3660,3660,Miscellaneous Methods of User-defined Attributes,11. Objects Reference Help
6,increment [SimTalk] - user-defined attribute,3661,3661,Miscellaneous Methods of User-defined Attributes,11. Objects Reference Help
4,Read-Only Attributes of All Objects,3661,3677,Shared Properties,11. Objects Reference Help
5,_Read-Only Attributes of All Objects,3661,3662,Read-Only Attributes of All Objects,11. Objects Reference Help
5,~ [SimTalk] (tilde) - material flow objects,3663,3664,Read-Only Attributes of All Objects,11. Objects Reference Help
5,Class [SimTalk] - read-only attribute,3665,3665,Read-Only Attributes of All Objects,11. Objects Reference Help
5,InternalClassType [SimTalk],3666,3670,Read-Only Attributes of All Objects,11. Objects Reference Help
5,Location [SimTalk] - material flow objects,3671,3672,Read-Only Attributes of All Objects,11. Objects Reference Help
5,NumAttr [SimTalk],3673,3673,Read-Only Attributes of All Objects,11. Objects Reference Help
5,NumChildren [SimTalk],3674,3674,Read-Only Attributes of All Objects,11. Objects Reference Help
5,Origin [SimTalk] - general description,3675,3675,Read-Only Attributes of All Objects,11. Objects Reference Help
5,OriginRoot [SimTalk],3676,3676,Read-Only Attributes of All Objects,11. Objects Reference Help
5,RootFrame [SimTalk],3677,3677,Read-Only Attributes of All Objects,11. Objects Reference Help
5,UUID [SimTalk],3678,3678,Read-Only Attributes of All Objects,11. Objects Reference Help
4,Attributes of All Objects,3678,3749,Shared Properties,11. Objects Reference Help
5,Attributes of All Objects,3678,3679,Attributes of All Objects,11. Objects Reference Help
5,Data Held in Tabular Form in Attributes [material flow objects],3680,3680,Attributes of All Objects,11. Objects Reference Help
5,General Attributes,3680,3687,Attributes of All Objects,11. Objects Reference Help
6,_General Attributes,3680,3681,General Attributes,11. Objects Reference Help
6,Coordinate3D [SimTalk] - general description,3682,3682,General Attributes,11. Objects Reference Help
6,CreateIn3D [SimTalk],3683,3683,General Attributes,11. Objects Reference Help
6,Label [SimTalk],3684,3685,General Attributes,11. Objects Reference Help
6,Name [SimTalk] - general description,3686,3687,General Attributes,11. Objects Reference Help
6,RootFolder [SimTalk] - attribute,3688,3688,General Attributes,11. Objects Reference Help
5,Attributes of the Controls,3688,3724,Attributes of All Objects,11. Objects Reference Help
6,_Attributes of the Controls,3688,3689,Attributes of the Controls,11. Objects Reference Help
6,AvailableCtrl [SimTalk],3690,3690,Attributes of the Controls,11. Objects Reference Help
6,ChangePathCtrl [SimTalk],3691,3692,Attributes of the Controls,11. Objects Reference Help
